0;0;0;0;0;0;0;0;0;2;0;yongbin;
0;1;0;1;0;1;0;0;0;3;0;yongbinnv;
1;2;0;2;0;0;1;1;0;2;0;yongzhe;
1;3;0;3;0;1;1;1;0;3;0;yongzhenv;
2;4;0;6;1;2;2;2;0;6;0;jianshi;
2;5;0;7;1;3;2;2;0;7;0;jianshinv;
3;6;0;8;1;2;3;3;0;6;0;jiansheng;
3;7;0;9;1;3;3;3;0;7;0;jianshengnv;
4;8;0;12;2;4;4;4;0;10;0;gongjianshou;
4;9;0;13;2;5;4;4;0;11;0;gongjianshounv;
5;10;0;14;2;4;5;5;0;10;0;jujishou;
5;11;0;15;2;5;5;5;0;11;0;jujishounv;
6;12;0;18;3;6;6;6;1;14;0;zhongjiaqishi;
6;13;0;19;3;7;6;6;1;15;0;zhongjiaqishinv;
7;14;0;20;3;6;7;7;1;14;0;jiangjun;
7;15;0;21;3;7;7;7;1;15;0;jiangjunnv;
8;16;0;24;4;8;8;8;2;18;0;qingqishi;
8;17;0;25;4;9;8;8;2;19;0;qingqishinv;
9;18;0;26;4;8;9;9;2;18;0;shengqishi;
9;19;0;27;4;9;9;9;2;19;0;shengqishinv;
10;20;0;30;5;10;10;10;6;20;0;zhongqishi;
10;21;0;31;5;11;10;10;6;21;0;zhongqishinv;
11;22;0;34;6;12;11;11;0;24;0;daozei;
11;23;0;35;6;13;11;11;0;25;0;daozeinv;
12;24;0;36;6;12;12;12;0;24;0;xiadao;
12;25;0;37;6;13;12;12;0;25;0;xiadaonv;
13;26;0;40;7;14;13;13;0;26;0;cike;
13;27;0;41;7;15;13;13;0;27;0;cikenv;
14;28;0;44;8;16;14;14;0;30;0;qiangbing;
14;29;0;45;8;17;14;14;0;31;0;qiangbingnv;
15;30;0;46;8;16;15;15;0;30;0;qiangsheng;
15;31;0;47;8;17;15;15;0;31;0;qiangshengnv;
16;32;0;50;9;18;16;16;0;33;0;zhanshi;
17;33;0;51;9;18;17;17;0;33;0;yongshi;
18;34;0;53;10;19;18;18;0;36;0;shanzei;
19;35;0;53;10;19;18;18;0;36;0;haidao;
20;36;0;54;10;10;19;19;0;36;0;kuangzhanshi;
21;37;0;56;11;20;20;20;3;38;0;tianmaqishi;
22;38;0;57;11;20;21;21;3;38;0;sunqishi;
23;39;0;59;12;21;22;22;4;41;0;longqishi;
23;40;0;60;12;22;22;22;4;42;0;longqishinv;
24;41;0;61;12;21;23;23;4;41;0;longqitongshuai;
24;42;0;62;12;22;23;23;4;42;0;longqitongshuainv;
25;43;0;65;13;23;24;24;7;43;0;yilongqishi;
25;44;0;66;13;24;24;24;7;44;0;yilongqishinv;
26;45;0;69;14;25;25;25;2;47;0;youmumin;
26;46;0;70;14;26;25;25;2;48;0;youmuminnv;
27;47;0;71;14;25;26;26;2;47;0;youmuqibing;
27;48;0;72;14;26;26;26;2;48;0;youmuqibingnv;
28;49;0;75;15;27;27;27;0;51;0;mofashi;
28;50;0;76;15;28;27;27;0;52;0;mofashinv;
29;51;0;77;15;27;28;28;0;51;0;xianzhe;
29;52;0;78;15;28;28;28;0;52;0;xianzhenv;
30;53;0;81;16;29;29;29;0;55;0;xiudaoshi;
31;54;0;82;16;30;30;30;0;56;0;xiunv;
32;55;0;83;16;29;31;31;0;55;0;siji;
32;56;0;84;16;30;31;31;0;56;0;sijinv;
33;57;0;87;17;31;32;32;0;59;0;wushi;
33;58;0;88;17;32;32;32;0;60;0;wushinv;
34;59;0;89;17;31;33;33;0;59;0;deluyi;
34;60;0;90;17;32;33;33;0;60;0;deluyinv;
35;61;0;93;18;33;34;34;5;61;0;zhaohuanshi;
36;62;0;95;19;34;35;35;2;63;0;shenguanqishi;
37;63;0;96;19;34;35;36;2;63;0;nvwushen;
