22;04;00;07;07;00;04;00;09;05;58;yongbin;
20;03;00;06;09;02;02;00;08;05;55;yongbinnv;
40;14;00;18;18;06;11;05;11;06;129;yongzhe;
36;12;00;18;20;09;09;07;10;06;127;yongzhenv;
58;24;00;29;29;12;18;10;11;06;197;;
52;21;00;30;31;16;16;14;10;06;196;;
19;04;00;09;09;01;03;00;08;05;58;jianshi;
18;03;00;08;10;03;01;01;07;05;56;jianshinv;
35;12;00;19;19;07;10;06;09;06;123;jiansheng;
32;10;00;18;21;12;08;08;08;06;123;jianshengnv;
51;20;00;29;29;13;17;12;09;06;186;;
46;17;00;28;32;21;15;15;08;06;188;;
20;04;00;05;05;01;03;00;07;05;50;gongjianshou;
18;03;00;04;06;03;02;01;06;05;48;gongjianshounv;
38;14;00;21;13;07;11;05;08;06;123;jujishou;
35;12;00;20;15;09;09;08;07;06;121;jujishounv;
56;24;00;37;21;13;19;10;08;06;194;;
53;21;00;36;24;15;16;15;07;06;193;;
22;05;00;02;00;00;09;00;13;05;56;zhongjiaqishi;
20;04;00;03;01;02;07;01;11;05;54;zhongjiaqishinv;
40;17;00;11;09;05;21;05;15;06;129;jiangjun;
37;15;00;12;10;08;18;08;13;06;127;jiangjunnv;
58;29;00;20;18;10;33;10;15;06;199;;
54;26;00;21;19;14;29;15;13;06;197;;
22;05;00;02;05;00;06;00;09;07;56;qingqishi;
20;04;00;02;06;02;04;01;08;07;54;qingqishinv;
40;15;00;12;15;04;13;05;10;08;122;shengqishi;
37;13;00;15;16;07;10;07;09;08;122;shengqishinv;
58;25;00;22;25;08;20;10;10;08;186;;
54;22;00;28;26;12;16;13;09;08;188;;
42;17;00;10;13;04;15;03;11;08;123;zhongqishi;
39;15;00;13;14;07;12;05;10;08;123;zhongqishinv;
62;29;00;18;21;08;24;06;11;08;000;;
58;26;00;24;22;12;20;09;10;08;000;;
17;03;00;01;09;03;02;00;06;06;47;daozei;
16;02;00;01;10;05;01;01;05;06;47;daozeinv;
33;11;00;10;21;13;09;07;07;07;118;xiadao;
31;09;00;10;22;15;07;09;06;07;116;xiadaonv;
49;19;00;19;33;23;16;14;07;07;187;;
46;16;00;19;34;25;13;17;06;07;183;;
33;11;00;10;21;13;09;07;07;06;117;cike;
31;09;00;10;22;15;07;09;06;06;115;cikenv;
51;19;00;23;29;18;16;14;07;06;183;;
47;16;00;23;31;20;13;17;06;06;179;;
22;04;00;03;03;00;03;00;09;05;49;qiangbing;
20;02;00;02;05;02;02;01;08;05;47;qiangbingnv;
41;15;00;13;15;05;13;05;12;06;125;qiangsheng;
38;13;00;13;17;09;11;06;11;06;124;qiangshengnv;
60;26;00;23;27;10;23;10;12;06;197;;
56;24;00;24;29;16;20;11;11;06;197;;
25;07;00;03;02;00;02;00;11;05;55;zhanshi;
45;20;00;13;11;05;10;05;13;06;128;yongshi;
65;33;00;23;20;10;18;10;13;06;198;;
26;07;00;00;05;00;02;00;12;05;57;shanzei/haidao;
46;21;00;09;15;05;10;05;14;06;131;kuangzhanshi;
66;35;00;18;25;10;18;10;14;06;202;;
17;02;00;04;07;03;01;02;07;07;50;tianmaqishi;
32;10;00;14;20;12;08;13;09;08;126;sunqishi;
47;18;00;24;33;21;15;24;09;08;199;;
25;07;00;03;03;00;05;00;12;07;62;longqishi;
22;05;00;03;04;02;03;00;10;07;56;longqishinv;
45;19;00;13;11;05;15;05;13;08;134;longqitongshuai;
40;16;00;13;14;07;11;07;11;08;127;longqitongshuainv;
65;31;00;23;19;10;25;10;13;08;204;;
58;27;00;23;24;12;19;14;11;08;196;;
45;19;00;13;11;05;12;08;13;08;134;yilongqishi;
40;16;00;13;14;07;08;10;11;08;127;yilongqishinv;
65;31;00;23;19;10;19;16;13;08;204;;
58;27;00;23;24;12;13;20;11;08;196;;
21;04;00;04;05;00;03;00;09;07;53;youmumin;
19;03;00;03;06;02;02;01;08;07;51;youmuminnv;
38;13;00;13;15;06;10;07;10;08;120;youmuqibing;
35;11;00;13;18;09;08;08;09;08;119;youmuqibingnv;
55;22;00;22;25;12;17;14;10;08;185;;
51;19;00;23;30;16;14;15;09;08;185;;
19;00;04;03;04;00;02;03;07;05;47;mofashi;
17;00;05;03;03;03;01;03;06;05;46;mofashinv;
34;00;14;15;13;05;09;12;08;06;116;xianzhe;
31;00;18;10;16;09;06;13;07;06;116;xianzhenv;
49;00;24;27;22;10;16;21;08;06;183;;
45;00;31;17;29;15;11;23;07;06;184;;
18;00;03;04;04;01;01;02;06;05;44;xiudaoshi;
16;00;03;01;02;05;00;03;05;05;40;xiunv;
33;00;14;15;14;06;08;14;07;06;117;siji;
30;00;16;10;16;13;05;17;06;06;119;sijinv;
48;00;25;26;24;11;15;26;07;06;188;;
44;00;29;19;30;21;10;31;06;06;196;;
21;00;06;02;03;00;02;02;08;05;49;wushi;
19;00;06;01;03;02;01;03;07;05;47;wushinv;
37;00;19;13;11;05;10;13;09;06;123;deluyi;
34;00;21;10;13;08;07;15;08;06;122;deluyinv;
53;00;32;24;19;10;18;24;09;06;195;;
49;00;36;19;23;14;13;27;08;06;195;;
37;00;17;14;12;05;10;13;09;06;123;zhaohuanshi;
53;00;28;26;21;10;18;24;09;06;195;;
17;00;03;02;04;03;01;03;07;07;47;shenguanqishi;
33;00;13;13;17;11;07;13;08;08;123;nvwushen;
49;00;23;24;30;19;13;23;08;08;197;;
