01;00;00;00;00;00;00;00;yongbin;
50;01;00;00;00;00;00;00;yongzhe;
01;00;00;00;00;00;00;00;jianshi;
50;00;00;00;00;00;00;00;jiansheng;
00;00;00;01;00;00;00;00;gongjianshou;
00;00;00;50;00;00;00;00;jujishou;
00;01;00;00;00;00;00;00;zhongjiaqishi;
00;50;00;00;00;00;00;00;jiangjun;
01;01;00;00;00;00;00;00;qingqishi;
20;20;00;00;00;00;00;00;shengqishi;
20;20;20;00;00;00;00;00;zhongqishi;
01;00;00;00;00;00;00;00;daozei;
50;00;00;00;00;00;00;00;xiadao;
50;00;00;00;00;00;00;00;cike;
00;01;00;00;00;00;00;00;qiangbing;
00;50;00;00;00;00;00;00;qiangsheng;
00;00;01;00;00;00;00;00;zhanshi;
00;00;50;01;00;00;00;00;yongshi;
00;00;01;00;00;00;00;00;shanzei/haidao;
00;00;50;00;00;00;00;00;kuangzhanshi;
00;01;00;00;00;00;00;00;tianmaqishi;
01;50;00;00;00;00;00;00;sunqishi;
00;01;00;00;00;00;00;00;longqishi;
00;50;01;00;00;00;00;00;longqitongshuai;
01;50;00;00;00;00;00;00;yilongqishi;
00;00;00;01;00;00;00;00;youmumin;
01;00;00;50;00;00;00;00;youmuqibing;
00;00;00;00;01;00;00;00;mofashi;
00;00;00;00;50;00;00;01;xianzhe;
00;00;00;00;00;01;00;00;xiudaoshi;
00;00;00;00;00;00;00;01;xiunv;
00;00;00;00;00;50;00;20;siji;
00;00;00;00;00;00;01;00;wushi;
00;00;00;00;00;00;50;01;deluyi;
00;00;00;00;00;00;00;01;shenguanqishi;
00;00;00;00;01;00;00;50;nvwushen;
00;00;00;00;00;00;00;00;市民;
00;00;00;00;00;00;00;00;舞者;
