0;平地;0;0;0;1;00000000;00000088;普通地板;
1;草地;0;0;0;1;00000000;00000088;普通地板;
2;地板;0;0;0;1;00000000;00000088;普通地板;
3;桥;0;0;0;1;00000000;00000088;普通地板;
4;圆木桥;0;0;0;1;00000000;00000088;枯树搭成的桥;
5;宝箱;0;0;0;1;00000000;00000088;;
6;空宝箱;0;0;0;1;00000000;00000088;;
7;楼梯;0;0;0;1;00000000;00000088;普通地板;
8;道路;0;0;0;1;00000000;00000088;普通地板;
9;荒地;0;0;0;1;00000000;00000088;普通地板;
10;甲板;0;0;0;1;00000000;00000088;普通地板;
11;森林;1;20;0;2;00000000;00000088;影响进攻的丛林地带;
12;密林;2;30;0;3;00000044;00000088;无法乘骑进入的密林;
13;山;2;30;0;3;00000044;00000088;无法乘骑进入的山地;
14;高山;2;40;0;3;FFFFFA77;00000088;地形险要的高山,普通人无法进入;
15;民房;0;10;0;1;00000000;00000088;;
16;村庄;0;10;0;1;00000000;00000088;;
17;废墟;0;0;0;2;00000000;00000088;;
18;武器店;0;10;0;1;00000000;00000088;;
19;道具店;0;10;0;1;00000000;00000088;;
20;斗技场;0;10;0;1;00000000;00000088;;
21;要塞;2;20;20;2;00000000;00000088;;
22;大门;3;30;10;1;00000000;00000088;;
23;城门;3;30;10;1;00000000;00000088;;
24;王座;3;30;10;1;00000000;00000088;;
25;柱子;1;20;0;2;00000000;00000088;;
26;沙地;0;5;0;1;00000000;00000088;;
27;沙漠;0;5;0;2;00000044;00000088;;
28;河流;0;0;0;3;00000044;00000088;;
29;水;0;10;0;3;FFFFF977;00000088;;
30;湖;0;10;0;3;FFFFF977;00000088;;
31;海;0;10;0;3;FFFFF977;00000088;;
32;--;0;0;0;1;FFFFFF77;00000088;;
33;悬崖;0;0;0;1;FFFFFF77;00000088;;
34;墙壁;0;0;0;1;FFFFFF77;00000088;;
35;船舷;0;0;0;1;FFFFFF77;00000088;;
36;山谷;2;20;0;1;FFFFFF77;00000088;;
37;暗;0;0;0;1;FFFFFFFF;00000000;;
38;门;0;0;0;1;FFFFFFFF;00000000;;
39;屋顶;0;0;0;1;FFFFFFFF;00000000;;
40;破墙;0;0;0;1;FFFFFFFF;00000000;;
41;枯树;0;0;0;1;FFFFFFFF;00000000;;
42;围栏;0;0;0;1;FFFFFF77;00000088;;
43;火;0;0;0;1;FFFFFFFF;00000000;;
