14;14;14;14;14;14;14;14;00;00;00;28;41;21;26;26;30;30;30;33;00;00;00;00;00;
14;14;14;14;14;14;14;00;00;00;00;28;33;33;30;30;30;30;30;33;00;00;00;00;00;
14;14;14;14;14;14;00;00;00;00;33;30;30;30;30;30;30;26;26;00;00;00;00;00;00;
14;14;14;14;14;14;00;00;00;33;30;33;33;33;33;33;26;26;26;00;00;00;00;00;00;
14;14;14;14;11;00;00;00;00;33;33;00;11;00;00;00;00;00;00;00;00;00;00;00;11;
14;14;14;00;00;11;00;00;00;00;00;00;00;11;00;00;00;00;00;00;00;00;11;11;15;
14;14;00;11;11;00;00;00;00;00;00;33;33;00;00;00;00;00;00;00;00;11;11;11;11;
14;14;00;11;19;11;00;00;00;00;33;00;00;00;00;33;00;00;11;00;11;00;11;00;11;
14;14;11;00;00;18;00;00;00;11;00;00;00;11;00;33;00;00;00;11;11;00;00;11;00;
00;32;32;32;00;00;00;00;00;00;00;00;00;00;33;00;11;11;00;00;11;14;14;14;00;
00;32;32;32;11;00;00;00;00;00;00;00;00;00;00;11;00;14;14;14;14;14;14;14;14;
00;32;16;32;00;00;00;00;00;00;00;00;11;00;00;00;00;14;14;14;14;14;14;14;14;
00;00;00;00;00;00;00;00;33;00;00;00;00;11;11;00;14;14;14;14;14;14;14;14;14;
00;00;00;00;00;33;33;33;30;33;33;00;00;00;11;00;14;14;14;14;14;14;14;14;14;
11;00;00;00;00;33;30;30;30;30;30;33;00;00;14;14;14;14;14;14;14;14;14;14;14;
